CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Papua New Guinea,PNG,1963,36.9
Paraguay,PRY,1963,17.14
Peru,PER,1963,34.99
Philippines,PHL,1963,32.89
Poland,POL,1963,105.61
Portugal,PRT,1963,125.95
Puerto Rico,PRI,1963,527.38
Qatar,QAT,1963,13.74
Romania,ROM,1963,62.3
Russian Federation,RUS,1963,94.7
Rwanda,RWA,1963,27.59
Samoa,WSM,1963,108.84
Sao Tome and Principe,STP,1963,71.82
Saudi Arabia,SAU,1963,11.73
Senegal,SEN,1963,79.68
Seychelles,SYC,1963,285.53
Sierra Leone,SLE,1963,35.62
Singapore,SGP,1963,392.86
Solomon Islands,SLB,1963,31.47
Somalia,SOM,1963,60.12
South Africa,ZAF,1963,43.95
Spain,ESP,1963,55.4
Sri Lanka,LKA,1963,52.89
St. Kitts and Nevis,KNA,1963,248.64
St. Lucia,LCA,1963,275.97
St. Vincent and the Grenadines,VCT,1963,78.84
Sudan,SDN,1963,32.49
Suriname,SUR,1963,45.21
Swaziland,SWZ,1963,22.33
Sweden,SWE,1963,98.1
Switzerland,CHE,1963,113.4
Syrian Arab Republic,SYR,1963,21.37
Tanzania,TZA,1963,30.49
Thailand,THA,1963,24.51
Timor-Leste,TMP,1963,41.04
Togo,TGO,1963,38.39
Tonga,TON,1963,141.45
Trinidad and Tobago,TTO,1963,217.08
Tunisia,TUN,1963,37.66
Turkey,TUR,1963,34.2
Tuvalu,TUV,1963,105.84
Uganda,UGA,1963,41.35
United Arab Emirates,ARE,1963,0.97
United Kingdom,GBR,1963,63.98
United States,USA,1963,45.86
Uruguay,URY,1963,33.15
Vanuatu,VUT,1963,77.19
"Venezuela, RB",VEN,1963,38.58
Vietnam,VNM,1963,21.44
"Yemen, Rep.",YEM,1963,33.2
Zambia,ZMB,1963,26.66
Zimbabwe,ZWE,1963,45.62
Afghanistan,AFG,1964,73.15
Albania,ALB,1964,48.36
Algeria,DZA,1964,46.42
American Samoa,ASM,1964,61.25
Angola,AGO,1964,45.58
Antigua and Barbuda,ATG,1964,252.1
Argentina,ARG,1964,30.91
Armenia,ARM,1964,72.2
Australia,AUS,1964,34.23
Austria,AUT,1964,93.29
Azerbaijan,AZE,1964,68.5
"Bahamas, The",BHS,1964,44.7
Bahrain,BHR,1964,74.28
Bangladesh,BGD,1964,41.76
Barbados,BRB,1964,289.48
Belarus,BLR,1964,70.2
Belize,BLZ,1964,14.75
Benin,BEN,1964,18.74
Bermuda,BMU,1964,90.84
Bhutan,BTN,1964,31.57
Bolivia,BOL,1964,24.62
Bosnia and Herzegovina,BIH,1964,57.3
Botswana,BWA,1964,53.23
Brazil,BRA,1964,24.47
Brunei Darussalam,BRN,1964,72.55
Bulgaria,BGR,1964,141.74
Burkina Faso,BFA,1964,21.12
Burundi,BDI,1964,60.44
Cabo Verde,CPV,1964,51.75
Cambodia,KHM,1964,53.2
Cameroon,CMR,1964,31.8
Canada,CAN,1964,38.2
Cayman Islands,CYM,1964,125.4
