CountryName,CountryCode,Year,Food production index (2004-2006 = 100)
Latin America & Caribbean (all income levels),LCN,1964,27.47120076
Latin America & Caribbean (developing only),LAC,1964,23.99075901
Least developed countries: UN classification,LDC,1964,36.82544871
Low & middle income,LMY,1964,24.88856755
Low income,LIC,1964,40.39462804
Lower middle income,LMC,1964,28.99677881
Middle East & North Africa (all income levels),MEA,1964,22.67955697
Middle East & North Africa (developing only),MNA,1964,23.19555453
Middle income,MIC,1964,24.05881408
North America,NAC,1964,48.31091082
OECD members,OED,1964,54.70924498
Other small states,OSS,1964,57.46311081
Pacific island small states,PSS,1964,65.81300327
Small states,SST,1964,63.82322909
South Asia,SAS,1964,32.80436672
Sub-Saharan Africa (all income levels),SSF,1964,33.44687399
Sub-Saharan Africa (developing only),SSA,1964,33.41166366
Upper middle income,UMC,1964,21.06229062
World,WLD,1964,34.70377242
Afghanistan,AFG,1964,59.12
Albania,ALB,1964,32.47
Algeria,DZA,1964,35.51
American Samoa,ASM,1964,81.52
Angola,AGO,1964,31.76
Antigua and Barbuda,ATG,1964,153.14
Argentina,ARG,1964,40.02
Armenia,ARM,1964,71.3
Australia,AUS,1964,49.03
Austria,AUT,1964,77.53
Azerbaijan,AZE,1964,62.1
"Bahamas, The",BHS,1964,40.25
Bahrain,BHR,1964,54.89
Bangladesh,BGD,1964,40
Barbados,BRB,1964,129.08
Belarus,BLR,1964,86.7
Belize,BLZ,1964,15.11
Benin,BEN,1964,22.24
Bermuda,BMU,1964,156.37
Bhutan,BTN,1964,35.11
Bolivia,BOL,1964,22.77
Bosnia and Herzegovina,BIH,1964,68.4
Botswana,BWA,1964,70.37
Brazil,BRA,1964,17.58
Brunei Darussalam,BRN,1964,17.22
Bulgaria,BGR,1964,130.77
Burkina Faso,BFA,1964,25.66
Burundi,BDI,1964,69.74
Cabo Verde,CPV,1964,34.09
Cambodia,KHM,1964,45.05
Cameroon,CMR,1964,30.39
Canada,CAN,1964,42.65
Cayman Islands,CYM,1964,122.6
Central African Republic,CAF,1964,31.03
Chad,TCD,1964,44.41
Chile,CHL,1964,28.93
China,CHN,1964,16.03
Colombia,COL,1964,30.71
Comoros,COM,1964,47.07
"Congo, Dem. Rep.",ZAR,1964,62.31
"Congo, Rep.",COG,1964,42.33
Costa Rica,CRI,1964,17.71
Cote d'Ivoire,CIV,1964,21.26
Croatia,HRV,1964,96.1
Cuba,CUB,1964,81.47
Cyprus,CYP,1964,48.42
Czech Republic,CZE,1964,101
Denmark,DNK,1964,69.95
Djibouti,DJI,1964,14.54
Dominica,DMA,1964,98.56
Dominican Republic,DOM,1964,46.3
Ecuador,ECU,1964,33.6
"Egypt, Arab Rep.",EGY,1964,21.58
El Salvador,SLV,1964,38.71
Equatorial Guinea,GNQ,1964,132.29
Eritrea,ERI,1964,82.7
Estonia,EST,1964,119.3
Ethiopia,ETH,1964,53.6
Faeroe Islands,FRO,1964,14.08
Fiji,FJI,1964,70.98
Finland,FIN,1964,95.04
France,FRA,1964,72.54
French Polynesia,PYF,1964,110.35
Gabon,GAB,1964,48.48
"Gambia, The",GMB,1964,69.86
Georgia,GEO,1964,105.4
Germany,DEU,1964,77.06
Ghana,GHA,1964,32.22
Greece,GRC,1964,50.71
Greenland,GRL,1964,72.35
Grenada,GRD,1964,128.03
Guam,GUM,1964,35.23
Guatemala,GTM,1964,22.16
Guinea,GIN,1964,36.71
Guinea-Bissau,GNB,1964,38.24
Guyana,GUY,1964,70.07
Haiti,HTI,1964,69.09
Honduras,HND,1964,32.71
"Hong Kong SAR, China",HKG,1964,117.99
Hungary,HUN,1964,74.64
Iceland,ISL,1964,90.38
India,IND,1964,33.29
Indonesia,IDN,1964,22
"Iran, Islamic Rep.",IRN,1964,15.02
Iraq,IRQ,1964,49.64
Ireland,IRL,1964,49.83
Israel,ISR,1964,31.35
Italy,ITA,1964,77.07
Jamaica,JAM,1964,77.53
Japan,JPN,1964,76.18
Jordan,JOR,1964,45.01
Kazakhstan,KAZ,1964,106.2
