CountryName,CountryCode,Year,CO2 emissions (kt)
"Congo, Dem. Rep.",ZAR,1964,1976.513
"Congo, Rep.",COG,1964,267.691
Costa Rica,CRI,1964,674.728
Cote d'Ivoire,CIV,1964,762.736
Cuba,CUB,1964,14293.966
Cyprus,CYP,1964,1001.091
Denmark,DNK,1964,43189.926
Djibouti,DJI,1964,84.341
Dominica,DMA,1964,14.668
Dominican Republic,DOM,1964,1749.159
Ecuador,ECU,1964,2145.195
"Egypt, Arab Rep.",EGY,1964,25522.32
El Salvador,SLV,1964,1232.112
Equatorial Guinea,GNQ,1964,25.669
Ethiopia,ETH,1964,407.037
Faeroe Islands,FRO,1964,121.011
Fiji,FJI,1964,425.372
Finland,FIN,1964,22852.744
France,FRA,1964,345303.055
French Polynesia,PYF,1964,66.006
Gabon,GAB,1964,190.684
"Gambia, The",GMB,1964,29.336
Ghana,GHA,1964,1650.15
Greece,GRC,1964,13223.202
Greenland,GRL,1964,315.362
Grenada,GRD,1964,22.002
Guatemala,GTM,1964,1771.161
Guinea,GIN,1964,700.397
Guinea-Bissau,GNB,1964,58.672
Guyana,GUY,1964,649.059
Haiti,HTI,1964,300.694
Honduras,HND,1964,722.399
"Hong Kong SAR, China",HKG,1964,4224.384
Hungary,HUN,1964,62401.339
Iceland,ISL,1964,1309.119
India,IND,1964,150647.694
Indonesia,IDN,1964,22394.369
"Iran, Islamic Rep.",IRN,1964,47560.99
Iraq,IRQ,1964,9075.825
Ireland,IRL,1964,14231.627
Israel,ISR,1964,9149.165
Italy,ITA,1964,175957.328
Jamaica,JAM,1964,4066.703
Japan,JPN,1964,359318.329
Jordan,JOR,1964,1243.113
Kenya,KEN,1964,2827.257
Kiribati,KIR,1964,18.335
"Korea, Rep.",KOR,1964,22218.353
Kuwait,KWT,1964,25335.303
Lao PDR,LAO,1964,172.349
Lebanon,LBN,1964,3267.297
Liberia,LBR,1964,484.044
Libya,LBY,1964,663.727
Luxembourg,LUX,1964,12306.452
"Macao SAR, China",MAC,1964,128.345
Madagascar,MDG,1964,484.044
Malawi,MWI,1964,330.03
Mali,MLI,1964,176.016
Malta,MLT,1964,498.712
Mauritania,MRT,1964,117.344
Mauritius,MUS,1964,308.028
Mexico,MEX,1964,74278.752
Mongolia,MNG,1964,2046.186
Morocco,MAR,1964,4422.402
Mozambique,MOZ,1964,2141.528
Myanmar,MMR,1964,2860.26
Nepal,NPL,1964,150.347
Netherlands,NLD,1964,96867.472
New Caledonia,NCL,1964,1100.1
New Zealand,NZL,1964,13105.858
Nicaragua,NIC,1964,949.753
Niger,NER,1964,95.342
Nigeria,NGA,1964,7275.328
Norway,NOR,1964,16189.805
Oman,OMN,1964,11.001
Pakistan,PAK,1964,19035.397
Palau,PLW,1964,58.672
Panama,PAN,1964,1243.113
Papua New Guinea,PNG,1964,267.691
Paraguay,PRY,1964,432.706
Peru,PER,1964,12266.115
Philippines,PHL,1964,12838.167
Poland,POL,1964,243114.766
Portugal,PRT,1964,11023.002
Qatar,QAT,1964,6274.237
Romania,ROM,1964,72115.222
Rwanda,RWA,1964,36.67
Samoa,WSM,1964,25.669
Sao Tome and Principe,STP,1964,11.001
Saudi Arabia,SAU,1964,7047.974
Senegal,SEN,1964,924.084
Seychelles,SYC,1964,7.334
Sierra Leone,SLE,1964,304.361
Singapore,SGP,1964,3703.67
Solomon Islands,SLB,1964,18.335
Somalia,SOM,1964,135.679
South Africa,ZAF,1964,119657.877
Spain,ESP,1964,64410.855
Sri Lanka,LKA,1964,2273.54
St. Kitts and Nevis,KNA,1964,18.335
St. Lucia,LCA,1964,22.002
St. Vincent and the Grenadines,VCT,1964,18.335
Sudan,SDN,1964,1859.169
Suriname,SUR,1964,605.055
Swaziland,SWZ,1964,11.001
Sweden,SWE,1964,60432.16
Switzerland,CHE,1964,28166.227
Syrian Arab Republic,SYR,1964,4367.397
Tanzania,TZA,1964,1034.094
Thailand,THA,1964,7480.68
Togo,TGO,1964,132.012
Tonga,TON,1964,11.001
Trinidad and Tobago,TTO,1964,3795.345
Tunisia,TUN,1964,2757.584
Turkey,TUR,1964,26336.394
Uganda,UGA,1964,491.378
United Arab Emirates,ARE,1964,18.335
United Kingdom,GBR,1964,608355.3
United States,USA,1964,3255995.306
Uruguay,URY,1964,4558.081
Vanuatu,VUT,1964,62.339
"Venezuela, RB",VEN,1964,56603.812
Vietnam,VNM,1964,11800.406
"Yemen, Rep.",YEM,1964,3633.997
Zambia,ZMB,1964,3278.298
Zimbabwe,ZWE,1964,4473.74
Afghanistan,AFG,1965,1008.425
Albania,ALB,1965,2174.531
Algeria,DZA,1965,6596.933
Angola,AGO,1965,1188.108
Antigua and Barbuda,ATG,1965,150.347
Argentina,ARG,1965,58866.351
Australia,AUS,1965,120966.996
Austria,AUT,1965,38188.138
"Bahamas, The",BHS,1965,1316.453
Bahrain,BHR,1965,1228.445
Barbados,BRB,1965,205.352
Belgium,BEL,1965,105440.918
Belize,BLZ,1965,84.341
Benin,BEN,1965,150.347
Bermuda,BMU,1965,179.683
Bolivia,BOL,1965,1510.804
Brazil,BRA,1965,56398.46
Brunei Darussalam,BRN,1965,333.697
Bulgaria,BGR,1965,46317.877
Burkina Faso,BFA,1965,102.676
Burundi,BDI,1965,36.67
Cabo Verde,CPV,1965,25.669
Cambodia,KHM,1965,403.37
